INFO:root:Processed IP 146.70.107.194: Fraud Score: 54, Risk: medium
INFO:root:Processed IP 10.124.1.241: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.117.2: Fraud Score: 54, Risk: medium
INFO:root:Processed IP 10.124.1.242: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.117.34: Fraud Score: 54, Risk: medium
INFO:root:Processed IP 10.124.1.30: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.31: Fraud Score: 0, Risk: low
INFO:root:Processed IP 194.36.25.3: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.32: Fraud Score: 0, Risk: low
INFO:root:Processed IP 194.36.25.18: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.33: Fraud Score: 0, Risk: low
INFO:root:Processed IP 194.36.25.33: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.250: Fraud Score: 0, Risk: low
INFO:root:Processed IP 194.36.25.48: Fraud Score: 0, Risk: low
INFO:root:Processed IP 169.150.201.2: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.251: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.252: Fraud Score: 0, Risk: low
INFO:root:Processed IP 169.150.201.15: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.64: Fraud Score: 0, Risk: low
INFO:root:Processed IP 169.150.201.28: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.17: Fraud Score: 0, Risk: low
INFO:root:Processed IP 45.129.56.67: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.229: Fraud Score: 0, Risk: low
INFO:root:Processed IP 45.129.56.68: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.197.194: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.230: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.138: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.197.130: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.139: Fraud Score: 0, Risk: low
INFO:root:Processed IP 194.127.167.67: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.140: Fraud Score: 0, Risk: low
INFO:root:Processed IP 194.127.167.87: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.252: Fraud Score: 0, Risk: low
INFO:root:Processed IP 194.127.167.107: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.188.61.195: Fraud Score: 17, Risk: low
INFO:root:Processed IP 10.124.0.253: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.69: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.188.61.225: Fraud Score: 17, Risk: low
INFO:root:Processed IP 10.124.1.223: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.70: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.253.99.30: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.253.99.98: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.222: Fraud Score: 0, Risk: low
INFO:root:Processed IP 45.134.213.194: Fraud Score: 0, Risk: low
INFO:root:Processed IP 45.134.213.207: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.28: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.128.194: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.47: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.128.226: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.2: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.19.207.195: Fraud Score: 8, Risk: low
INFO:root:Processed IP 10.124.1.3: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.19.207.225: Fraud Score: 8, Risk: low
INFO:root:Processed IP 10.124.0.21: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.204.1.203: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.111: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.204.1.211: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.112: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.53: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.204.1.219: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.54: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.138.7.157: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.138.7.137: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.55: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.138.7.177: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.2.56: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.64: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.138.7.197: Fraud Score: 0, Risk: low
INFO:root:Processed IP 45.134.79.97: Fraud Score: 8, Risk: low
INFO:root:Processed IP 10.124.0.45: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.183: Fraud Score: 0, Risk: low
INFO:root:Processed IP 138.199.15.146: Fraud Score: 33, Risk: medium
INFO:root:Processed IP 138.199.15.162: Fraud Score: 33, Risk: medium
INFO:root:Processed IP 10.124.0.116: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.126.66: Fraud Score: 50, Risk: medium
INFO:root:Processed IP 193.32.126.67: Fraud Score: 50, Risk: medium
INFO:root:Processed IP 10.124.0.117: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.118: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.120: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.126.70: Fraud Score: 50, Risk: medium
INFO:root:Processed IP 193.32.126.68: Fraud Score: 50, Risk: medium
INFO:root:Processed IP 10.124.0.119: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.126.69: Fraud Score: 50, Risk: medium
INFO:root:Processed IP 10.124.0.238: Fraud Score: 0, Risk: low
INFO:root:Processed IP 193.32.126.84: Fraud Score: 50, Risk: medium
INFO:root:Processed IP 10.124.0.223: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.224: Fraud Score: 0, Risk: low
INFO:root:Processed IP 146.70.184.2: Fraud Score: 47, Risk: medium
INFO:root:Processed IP 146.70.184.66: Fraud Score: 47, Risk: medium
INFO:root:Processed IP 10.124.0.246: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.247: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.0.59: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.201.188.33: Fraud Score: 31, Risk: medium
INFO:root:Processed IP 185.201.188.3: Fraud Score: 31, Risk: medium
INFO:root:Processed IP 141.98.252.130: Fraud Score: 22, Risk: medium
INFO:root:Processed IP 10.124.0.60: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.16: Fraud Score: 0, Risk: low
INFO:root:Processed IP 141.98.252.222: Fraud Score: 22, Risk: medium
INFO:root:Processed IP 10.124.1.18: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.17: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.195.232.66: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 185.195.232.67: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.1.19: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.195.232.68: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 185.195.232.69: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.1.28: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.62: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.195.232.70: Fraud Score: 35, Risk: medium
INFO:root:Processed IP 10.124.1.34: Fraud Score: 0, Risk: low
INFO:root:Processed IP 141.98.252.138: Fraud Score: 22, Risk: medium
INFO:root:Processed IP 10.124.1.35: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.91: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.248.85.18: Fraud Score: 32, Risk: medium
INFO:root:Processed IP 185.248.85.3: Fraud Score: 32, Risk: medium
INFO:root:Processed IP 185.248.85.33: Fraud Score: 32, Risk: medium
INFO:root:Processed IP 10.124.1.164: Fraud Score: 0, Risk: low
INFO:root:Processed IP 10.124.1.249: Fraud Score: 0, Risk: low
INFO:root:Processed IP 185.248.85.48: Fraud Score: 32, Risk: medium
